GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Moved in 2010 or later,Margin of Error; Owner occupied: - Moved in 2010 or later,Estimate; Owner occupied: - Moved in 2000 to 2009,Margin of Error; Owner occupied: - Moved in 2000 to 2009,Estimate; Owner occupied: - Moved in 1990 to 1999,Margin of Error; Owner occupied: - Moved in 1990 to 1999,Estimate; Owner occupied: - Moved in 1980 to 1989,Margin of Error; Owner occupied: - Moved in 1980 to 1989,Estimate; Owner occupied: - Moved in 1970 to 1979,Margin of Error; Owner occupied: - Moved in 1970 to 1979,Estimate; Owner occupied: - Moved in 1969 or earlier,Margin of Error; Owner occupied: - Moved in 1969 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Moved in 2010 or later,Margin of Error; Renter occupied: - Moved in 2010 or later,Estimate; Renter occupied: - Moved in 2000 to 2009,Margin of Error; Renter occupied: - Moved in 2000 to 2009,Estimate; Renter occupied: - Moved in 1990 to 1999,Margin of Error; Renter occupied: - Moved in 1990 to 1999,Estimate; Renter occupied: - Moved in 1980 to 1989,Margin of Error; Renter occupied: - Moved in 1980 to 1989,Estimate; Renter occupied: - Moved in 1970 to 1979,Margin of Error; Renter occupied: - Moved in 1970 to 1979,Estimate; Renter occupied: - Moved in 1969 or earlier,Margin of Error; Renter occupied: - Moved in 1969 or earlier
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",2142,147,1299,181,106,99,469,161,283,122,186,94,78,62,177,83,843,183,484,151,302,131,12,21,16,25,15,25,14,24
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",1426,98,309,87,26,20,156,68,65,39,0,17,8,13,54,30,1117,131,403,123,579,140,102,43,16,24,0,17,17,25
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",795,51,90,39,14,19,37,21,23,19,0,12,13,15,3,7,705,58,250,60,394,76,41,26,20,23,0,12,0,12
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",1039,80,312,74,20,23,135,64,49,32,31,33,29,31,48,35,727,103,431,115,254,85,32,33,10,15,0,12,0,12
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",1303,94,507,115,37,27,181,86,138,69,58,43,47,46,46,31,796,115,278,96,415,112,85,54,9,13,0,12,9,14
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",2366,123,676,171,53,43,330,141,105,79,47,38,121,75,20,25,1690,198,940,219,607,186,120,96,11,18,12,20,0,17
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",1000,76,549,95,46,43,186,67,160,72,75,42,56,38,26,22,451,107,216,80,180,81,47,31,0,12,8,13,0,12
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",1888,75,1332,118,121,55,444,83,251,77,139,64,142,65,235,77,556,114,185,73,316,116,28,27,9,14,8,13,10,15
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",1535,84,654,108,36,36,186,84,185,91,121,60,108,59,18,22,881,132,441,125,358,122,43,43,39,45,0,12,0,12
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",1029,81,378,81,30,26,139,66,88,43,86,46,16,19,19,21,651,93,363,93,241,89,32,29,7,12,0,12,8,13
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",1090,88,194,69,0,12,108,54,25,22,13,20,9,11,39,30,896,102,402,124,365,99,94,46,35,28,0,12,0,12
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",956,81,245,52,24,25,104,38,25,20,38,25,32,19,22,16,711,84,336,95,317,98,14,16,37,34,7,11,0,12
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",1157,73,400,109,20,25,148,75,79,63,39,34,59,41,55,33,757,116,284,88,409,112,46,30,18,23,0,12,0,12
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",1608,105,952,107,147,73,405,113,122,60,127,55,89,45,62,31,656,118,304,133,321,128,25,23,0,12,6,10,0,12
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",1967,138,1097,169,76,56,454,153,243,115,200,78,70,45,54,40,870,191,414,188,380,162,76,53,0,17,0,17,0,17
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",922,75,175,46,0,12,84,44,46,33,9,15,29,25,7,8,747,80,251,65,382,87,57,35,51,31,6,9,0,12
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",1624,96,1202,108,42,32,425,107,281,93,191,81,114,43,149,49,422,115,204,70,196,89,11,17,5,10,6,10,0,12
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",1559,107,1195,122,205,75,328,101,226,75,106,62,136,51,194,75,364,102,166,76,198,88,0,12,0,12,0,12,0,12
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",2006,84,1809,114,163,80,632,108,527,119,299,95,67,44,121,81,197,71,100,54,66,51,11,17,20,29,0,17,0,17
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",2108,81,1739,140,93,55,644,164,460,112,243,85,121,72,178,104,369,128,140,86,187,96,25,29,0,17,0,17,17,27
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",2127,130,1670,152,94,68,781,162,388,132,122,68,146,87,139,78,457,130,283,124,146,93,0,17,28,32,0,17,0,17
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",2842,143,2260,182,194,102,854,187,596,125,253,108,192,90,171,82,582,185,288,133,247,119,34,34,0,17,13,21,0,17
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",1992,129,1508,160,80,55,516,136,413,124,111,67,136,73,252,86,484,163,273,146,91,57,81,83,7,13,32,34,0,17
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",3043,125,2399,195,147,82,926,177,541,169,378,144,222,84,185,69,644,172,225,124,374,141,45,40,0,17,0,17,0,17
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",964,42,882,61,45,26,337,74,213,54,189,43,69,27,29,19,82,50,44,39,38,29,0,12,0,12,0,12,0,12
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",2254,99,1874,128,136,87,550,112,612,121,228,95,144,75,204,85,380,89,286,78,54,41,27,31,13,21,0,17,0,17
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",3136,157,2427,165,186,104,792,182,790,171,380,99,176,72,103,65,709,146,295,95,332,127,65,79,0,17,17,29,0,17
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",1476,58,1105,111,78,43,442,90,428,93,77,42,40,32,40,27,371,98,138,79,164,48,69,59,0,12,0,12,0,12
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",1015,65,979,67,44,24,340,86,294,58,84,33,106,46,111,38,36,27,9,14,17,19,10,11,0,12,0,12,0,12
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",567,43,524,41,24,23,162,57,122,41,109,38,59,27,48,27,43,36,43,36,0,12,0,12,0,12,0,12,0,12
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",2705,115,2568,131,152,92,607,135,654,140,510,142,229,98,416,131,137,72,91,58,18,25,10,18,0,17,18,29,0,17
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",1701,61,1588,85,122,72,527,115,347,85,180,73,276,88,136,45,113,65,38,33,66,57,0,17,9,14,0,17,0,17
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",2318,90,1811,156,104,101,651,194,440,147,145,67,310,90,161,63,507,148,153,88,252,99,84,55,18,28,0,17,0,17
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",1425,60,1381,77,51,36,418,102,395,94,152,49,195,67,170,54,44,35,13,19,31,31,0,12,0,12,0,12,0,12
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",1487,51,1434,64,46,35,633,113,297,91,161,60,119,53,178,75,53,35,32,31,14,15,0,12,0,12,7,11,0,12
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",3289,153,2053,182,60,47,675,174,679,180,339,146,120,64,180,81,1236,179,740,178,462,134,34,39,0,17,0,17,0,17
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",1925,87,1814,112,150,57,619,123,359,91,339,89,184,69,163,71,111,67,49,47,41,34,21,23,0,17,0,17,0,17
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",2290,129,1851,141,173,73,713,169,498,150,111,69,160,80,196,69,439,118,231,111,143,92,31,35,25,30,9,16,0,17
